"date";"Ïàé";"Ñ×À";"id"
2019-02-22;248.39;109246373.85;166
2019-02-21;243.93;107604849.82;166
2019-02-20;246.65;108802690.62;166
2019-02-19;248.09;109555566.99;166
2019-02-18;248.35;109667966.54;166
2019-02-15;248.08;109548110.5;166
2019-02-14;243.96;107732634.98;166
2019-02-13;242.75;107197992.4;166
2019-02-12;241.77;107116650.53;166
2019-02-11;239.91;106293181.71;166
2019-02-08;238.9;105845495.92;166
2019-02-07;236.42;104745819.16;166
2019-02-06;239.91;106294852.85;166
2019-02-05;240.68;106633306.44;166
2019-02-04;240.59;106595913.12;166
2019-02-01;238.32;105588561.45;166
2019-01-31;238.84;105694376.32;166
2019-01-30;234.96;104140223.27;166
2019-01-29;226.84;100541362.9;166
2019-01-28;230.64;102224953.41;166
2019-01-25;233.37;103434676.18;166
2019-01-24;229.08;101534946.93;166
2019-01-23;225.2;99811923.28;166
2019-01-22;224.4;99459538.62;166
2019-01-21;230.45;101040848.44;166
2019-01-18;230.37;101006608.98;166
2019-01-17;229.59;100669768.17;166
2019-01-16;228.16;100043252.4;166
2019-01-15;228.91;100369668.9;166
2019-01-14;225.07;98685549.88;166
2019-01-11;228.03;99983945.39;166
2019-01-10;227.77;99872102.58;166
2019-01-09;234.15;102667319.2;166
2018-12-29;215.35;94425519.33;166
2018-12-28;213.44;93588949.38;166
2018-12-27;212.64;93238422.43;166
2018-12-26;210.73;92400078.99;166
2018-12-25;199.52;87482566.54;166
2018-12-24;198.5;87255056.33;166
2018-12-21;199.93;87883378.89;166
2018-12-20;205.32;90030002.38;166
2018-12-19;208.21;91295503.62;166
2018-12-18;211.12;92571808.33;166
2018-12-17;211.08;92553832.97;166
2018-12-14;216.93;95883768.4;166
2018-12-13;221.52;97909829.64;166
2018-12-12;223.9;98962396.75;166
2018-12-11;219.94;97214197.46;166
2018-12-10;223.02;98572639.87;166
2018-12-07;220.78;97583001.6;166
2018-12-06;228.05;100797016.03;166
2018-12-05;226.42;100077875.47;166
2018-12-04;225.11;99496053.57;166
2018-12-03;234.77;103768740.75;166
2018-11-30;229.86;101596680.81;166
2018-11-29;228;100773202.14;166
2018-11-28;229.38;101383689.36;166
2018-11-27;221.93;98103584.82;166
2018-11-26;220.86;97630475.52;166
2018-11-23;215.71;95305966.86;166
2018-11-22;216.2;95521739.27;166
2018-11-21;216.1;95506749.45;166
2018-11-20;214.32;94961604.5;166
2018-11-19;216.51;95943310.75;166
2018-11-16;227.69;99794349.48;166
2018-11-15;234.29;102689742.93;166
2018-11-14;228.04;99951592.87;166
2018-11-13;227.17;99459987.33;166
2018-11-12;223.36;97795542.09;166
2018-11-09;230.89;101090168.31;166
2018-11-08;234.45;99549330.22;166
2018-11-07;236.02;100215690.22;166
2018-11-06;227.46;96581395.37;166
2018-11-02;230.31;96689412.56;166
2018-11-01;228.85;96078996.76;166
2018-10-31;221.67;93063843.07;166
2018-10-30;215.23;90361993.89;166
2018-10-29;211.6;88834085.57;166
2018-10-26;214.96;90245542.95;166
2018-10-25;217.86;90698612.82;166
2018-10-24;210.98;87435998.51;166
2018-10-23;223.15;92520493.1;166
2018-10-22;224.76;93188498.48;166
2018-10-19;224.1;92916372.01;166
2018-10-18;228.39;94693135.41;166
2018-10-17;236.11;97896635.38;166
2018-10-16;238.19;98758624.36;166
2018-10-15;230.76;95675501.78;166
2018-10-12;233.98;94911805.65;166
2018-10-11;226.73;91971002.99;166
2018-10-10;228.9;92881065.53;166
2018-10-09;239.34;97118803.78;166
2018-10-08;239.08;96744022.36;166
2018-10-05;241.84;97363803.87;166
2018-10-04;243.59;97574077.53;166
2018-10-03;248.33;99503091.38;166
2018-10-02;248.54;99587560.77;166
2018-10-01;250.94;100350499.84;166
2018-09-28;251.95;100256910.76;166
2018-09-27;253.31;100798964.85;166
2018-09-26;252.53;97991005.54;166
2018-09-25;253.66;98302885.6;166
2018-09-24;252.88;95897750.59;166
2018-09-21;252.14;95519656.65;166
2018-09-20;256.54;97137539.24;166
2018-09-19;256.04;94281943.09;166
2018-09-18;257.87;94956184.46;166
2018-09-17;257.27;94736315.92;166
2018-09-14;262.31;96344003.13;166
2018-09-13;264.98;97171710.74;166
2018-09-12;266.04;97015078.44;166
2018-09-11;264.25;96559974.09;166
2018-09-10;261.51;95561550;166
2018-09-07;255.23;93263507.44;166
2018-09-06;255.45;93344619.71;166
2018-09-05;258.76;94555561.19;166
2018-09-04;262.6;95957098.21;166
2018-09-03;265.63;97098356.1;166
2018-08-31;264.62;96728523.22;166
2018-08-30;263.41;95941635.08;166
2018-08-29;260.76;94998733.63;166
2018-08-28;258.34;92520083.82;166
2018-08-27;257.85;92344765.33;166
2018-08-24;257.84;92338267.2;166
2018-08-23;248.4;88910872.63;166
2018-08-22;245.45;87853189.47;166
2018-08-21;244.4;87478497.08;166
2018-08-20;240.13;88783229.31;166
2018-08-17;238.7;88255471.58;166
2018-08-16;238.83;88560458.06;166
2018-08-15;238.35;88382458.39;166
2018-08-14;248.24;92050160.83;166
2018-08-13;242.74;89963382.71;166
2018-08-10;241.6;89047008.3;166
2018-08-09;233.5;84963251.64;166
2018-08-08;234.01;85147228.39;166
2018-08-07;236.14;85873325.32;166
2018-08-06;234.17;85157276.91;166
2018-08-03;231.79;84094310.56;166
2018-08-02;230.95;83738870.85;166
2018-08-01;223.49;81031793.91;166
2018-07-31;223.25;80946184.29;166
2018-07-30;223.43;81012034.68;166
2018-07-27;229.67;83275078.03;166
2018-07-26;235.39;85348465.59;166
2018-07-25;234.04;84857930.61;166
2018-07-24;230.73;83559439.68;166
2018-07-23;235.02;85652907.01;166
2018-07-20;235.22;85727839.11;166
2018-07-19;236.39;86153391.44;166
2018-07-18;236.29;85574026.01;166
2018-07-17;235.56;85307948.7;166
2018-07-16;232.37;84152974.67;166
2018-07-13;233.84;84683994.48;166
2018-07-12;233.87;85357953.62;166
2018-07-11;230.51;84131936.06;166
2018-07-10;233.73;85308555.29;166
2018-07-09;234.68;85654657.19;166
2018-07-06;234.27;85506783.73;166
2018-07-05;229.66;83822055.23;166
2018-07-04;226.33;82528013.52;166
2018-07-03;226.55;82611303.04;166
2018-07-02;228.69;83094566.83;166
2018-06-29;227.84;82783768.77;166
2018-06-28;227.46;82645118.18;166
2018-06-27;227.45;82641094.47;166
2018-06-26;232.9;84641222.54;166
2018-06-25;231.67;84191790;166
2018-06-22;241.48;87758585.58;166
2018-06-21;242.79;88235381;166
2018-06-20;248.42;90130976.97;166
2018-06-19;243.03;88259651.51;166
2018-06-18;242.26;87980771.55;166
2018-06-15;238.96;86779977.42;166
2018-06-14;243.59;88463031.67;166
2018-06-13;238.59;86645701.64;166
